time,price
2017-11-03 12:30:25.200,1278.345
2017-11-03 12:30:25.300,1278.325
2017-11-03 12:30:25.400,1278.32
2017-11-03 12:30:25.500,1278.3795
2017-11-03 12:30:25.600,1278.3
2017-11-03 12:30:25.700,1278.3
2017-11-03 12:30:25.800,1278.3
2017-11-03 12:30:25.900,1278.345
2017-11-03 12:30:26.000,1278.345
2017-11-03 12:30:26.100,1278.335
2017-11-03 12:30:26.200,1278.35
2017-11-03 12:30:26.300,1278.325
2017-11-03 12:30:26.400,1278.325
2017-11-03 12:30:26.500,1278.325
2017-11-03 12:30:26.600,1278.385
2017-11-03 12:30:26.700,1278.32
2017-11-03 12:30:26.800,1278.21
2017-11-03 12:30:26.900,1278.23
2017-11-03 12:30:27.000,1278.3
2017-11-03 12:30:27.100,1278.29
2017-11-03 12:30:27.200,1278.335
2017-11-03 12:30:27.300,1278.21
2017-11-03 12:30:27.400,1278.21
2017-11-03 12:30:27.500,1278.21
2017-11-03 12:30:27.600,1278.21
2017-11-03 12:30:27.700,1278.24
2017-11-03 12:30:27.800,1278.26
2017-11-03 12:30:27.900,1278.21
2017-11-03 12:30:28.000,1278.21
2017-11-03 12:30:28.100,1278.21
2017-11-03 12:30:28.200,1278.33
2017-11-03 12:30:28.300,1278.24
2017-11-03 12:30:28.400,1278.23
2017-11-03 12:30:28.500,1278.235
2017-11-03 12:30:28.600,1278.245
2017-11-03 12:30:28.700,1278.3325
2017-11-03 12:30:28.800,1278.3325
2017-11-03 12:30:28.900,1278.3975
2017-11-03 12:30:29.000,1278.42
2017-11-03 12:30:29.100,1278.42
2017-11-03 12:30:29.200,1278.377
2017-11-03 12:30:29.300,1278.377
2017-11-03 12:30:29.400,1278.377
2017-11-03 12:30:29.500,1278.3875
2017-11-03 12:30:29.600,1278.3875
2017-11-03 12:30:29.700,1278.3875
2017-11-03 12:30:29.800,1278.3435
2017-11-03 12:30:29.900,1278.3435
2017-11-03 12:30:30.000,1278.3435
2017-11-03 12:30:30.100,1278.3435
2017-11-03 12:30:30.200,1278.411
2017-11-03 12:30:30.300,1278.4435
2017-11-03 12:30:30.400,1278.484
2017-11-03 12:30:30.500,1278.4745
2017-11-03 12:30:30.600,1278.4560000000001
2017-11-03 12:30:30.700,1278.2965
2017-11-03 12:30:30.800,1278.339
2017-11-03 12:30:30.900,1278.3795
2017-11-03 12:30:31.000,1278.3945
2017-11-03 12:30:31.100,1278.4095
2017-11-03 12:30:31.200,1278.516
2017-11-03 12:30:31.300,1278.4375
2017-11-03 12:30:31.400,1278.4335
2017-11-03 12:30:31.500,1278.401
2017-11-03 12:30:31.600,1278.401
2017-11-03 12:30:31.700,1278.389
2017-11-03 12:30:31.800,1278.4625
2017-11-03 12:30:31.900,1278.4775
2017-11-03 12:30:32.000,1278.4825
2017-11-03 12:30:32.100,1278.468
2017-11-03 12:30:32.200,1278.4905
2017-11-03 12:30:32.300,1278.486
2017-11-03 12:30:32.400,1278.486
2017-11-03 12:30:32.500,1278.4295
2017-11-03 12:30:32.600,1278.476
2017-11-03 12:30:32.700,1278.49
2017-11-03 12:30:32.800,1278.3915
2017-11-03 12:30:32.900,1278.405
2017-11-03 12:30:33.000,1278.3815
2017-11-03 12:30:33.100,1278.3815
2017-11-03 12:30:33.200,1278.3815
2017-11-03 12:30:33.300,1278.32
2017-11-03 12:30:33.400,1278.31
2017-11-03 12:30:33.500,1278.3085
2017-11-03 12:30:33.600,1278.32
2017-11-03 12:30:33.700,1278.32
2017-11-03 12:30:33.800,1278.2995
2017-11-03 12:30:33.900,1278.2335
2017-11-03 12:30:34.000,1278.2335
2017-11-03 12:30:34.100,1278.29
2017-11-03 12:30:34.200,1278.201
2017-11-03 12:30:34.300,1278.155
2017-11-03 12:30:34.400,1278.155
2017-11-03 12:30:34.500,1278.139
2017-11-03 12:30:34.600,1278.1445
2017-11-03 12:30:34.700,1278.0965
2017-11-03 12:30:34.800,1278.007
2017-11-03 12:30:34.900,1278.007
2017-11-03 12:30:35.000,1278.007
2017-11-03 12:30:35.100,1277.99
2017-11-03 12:30:35.200,1278.0
2017-11-03 12:30:35.300,1278.0
2017-11-03 12:30:35.400,1278.0
2017-11-03 12:30:35.500,1277.9815
2017-11-03 12:30:35.600,1277.901
